Date,DayOfWeek,Interval,Queue,Team,Forecast_Calls,Actual_Calls,Scheduled_Agents,Available_Agents,AHT,ACW,Occupancy,Adherence,SLA,ASA,Abandon_Rate,CSAT
2026-01-01,Thursday,01:45,Sales,Charlie,1,5,3,2,334,49,71.4,94.4,84,17,2.3,4.52
2026-01-01,Thursday,01:45,VIP,Delta,11,11,5,4,314,37,78.6,92.7,78,25,5.0,4.34
2026-01-01,Thursday,01:45,Complaints,Bravo,8,9,4,4,338,53,64.3,93.0,93,4,0,4.81
2026-01-01,Thursday,02:00,General Support,Charlie,7,7,4,2,319,42,99,96.7,56,57,15.7,3.63
2026-01-01,Thursday,02:00,Technical Support,Delta,2,3,3,2,354,50,42.9,90.9,94,2,0,4.86
2026-01-01,Thursday,02:00,Billing,Bravo,1,5,3,2,327,48,71.4,90.2,86,14,1.3,4.59
2026-01-01,Thursday,02:00,Sales,Bravo,5,4,3,2,369,40,57.1,91.6,94,2,0,4.86
2026-01-01,Thursday,02:00,VIP,Charlie,4,6,3,2,319,50,85.7,91.2,73,32,7.3,4.19
2026-01-01,Thursday,02:00,Complaints,Delta,9,8,4,4,364,34,57.1,100,94,2,0,4.86
2026-01-01,Thursday,02:15,General Support,Alpha,5,4,3,3,311,41,38.1,92.4,94,2,0,4.86
2026-01-01,Thursday,02:15,Technical Support,Delta,9,12,5,5,319,49,68.6,93.4,91,7,0,4.74
2026-01-01,Thursday,02:15,Billing,Charlie,10,10,4,4,354,33,71.4,87.8,91,7,0,4.74
2026-01-01,Thursday,02:15,Sales,Delta,12,14,6,4,281,29,99,95.5,52,62,17.3,3.52
2026-01-01,Thursday,02:15,VIP,Delta,9,11,5,4,355,48,78.6,88.2,78,25,5.0,4.34
2026-01-01,Thursday,02:15,Complaints,Alpha,4,6,3,3,318,36,57.1,92.5,93,3,0,4.83
2026-01-01,Thursday,02:30,General Support,Delta,10,9,4,2,357,38,99,94.2,54,60,16.7,3.57
2026-01-01,Thursday,02:30,Technical Support,Delta,6,6,3,2,372,46,85.7,89.0,69,38,9.3,4.06
2026-01-01,Thursday,02:30,Billing,Bravo,0,0,3,2,281,52,0.0,93.1,94,2,0,4.86
2026-01-01,Thursday,02:30,Sales,Bravo,5,5,3,2,344,41,71.4,95.7,86,13,1.0,4.61
2026-01-01,Thursday,02:30,VIP,Alpha,7,11,5,3,326,35,99,86.6,57,55,15.0,3.68
2026-01-01,Thursday,02:30,Complaints,Charlie,5,6,3,2,361,40,85.7,94.0,66,42,10.7,3.97
2026-01-01,Thursday,02:45,General Support,Charlie,6,8,4,3,352,54,76.2,93.0,78,25,5.0,4.34
2026-01-01,Thursday,02:45,Technical Support,Bravo,8,8,4,2,341,45,99,93.7,49,66,18.7,3.43
2026-01-01,Thursday,02:45,Billing,Bravo,10,8,4,4,331,40,57.1,91.1,94,2,0,4.86
2026-01-01,Thursday,02:45,Sales,Alpha,0,1,3,2,376,48,14.3,97.2,94,2,0,4.86
2026-01-01,Thursday,02:45,VIP,Bravo,9,11,5,4,368,55,78.6,89.2,74,31,7.0,4.21
2026-01-01,Thursday,02:45,Complaints,Charlie,14,12,5,3,331,58,99,91.8,55,58,16.0,3.61
2026-01-01,Thursday,03:00,General Support,Alpha,2,3,3,3,338,53,28.6,90.3,94,2,0,4.86
2026-01-01,Thursday,03:00,Technical Support,Charlie,5,5,3,2,309,42,71.4,92.1,91,7,0,4.74
2026-01-01,Thursday,03:00,Billing,Bravo,0,2,3,2,352,39,28.6,87.5,94,2,0,4.86
2026-01-01,Thursday,03:00,Sales,Alpha,7,8,4,3,373,38,76.2,93.1,80,22,4.0,4.41
2026-01-01,Thursday,03:00,VIP,Charlie,5,5,3,2,392,36,71.4,94.3,79,24,4.7,4.37
2026-01-01,Thursday,03:00,Complaints,Delta,3,4,3,3,364,31,38.1,97.1,94,2,0,4.86
2026-01-01,Thursday,03:15,General Support,Charlie,3,5,3,3,351,42,47.6,94.8,94,2,0,4.86
2026-01-01,Thursday,03:15,Technical Support,Charlie,4,4,3,2,339,39,57.1,96.8,94,2,0,4.86
2026-01-01,Thursday,03:15,Billing,Bravo,8,7,4,4,385,56,50.0,91.0,94,2,0,4.86
2026-01-01,Thursday,03:15,Sales,Bravo,10,8,4,2,312,26,99,88.7,59,52,14.0,3.74
2026-01-01,Thursday,03:15,VIP,Charlie,8,7,4,3,343,41,66.7,96.7,81,21,3.7,4.43
2026-01-01,Thursday,03:15,Complaints,Charlie,6,7,4,3,342,43,66.7,93.4,85,15,1.7,4.57
2026-01-01,Thursday,03:30,General Support,Alpha,8,8,4,3,347,34,76.2,93.8,78,25,5.0,4.34
2026-01-01,Thursday,03:30,Technical Support,Bravo,13,11,5,4,351,37,78.6,94.9,77,26,5.3,4.32
2026-01-01,Thursday,03:30,Billing,Alpha,6,8,4,3,378,35,76.2,91.8,77,27,5.7,4.3
2026-01-01,Thursday,03:30,Sales,Alpha,1,4,3,3,323,50,38.1,91.3,94,2,0,4.86
2026-01-01,Thursday,03:30,VIP,Delta,10,9,4,2,326,46,99,90.9,50,65,18.3,3.46
2026-01-01,Thursday,03:30,Complaints,Delta,9,9,4,3,299,35,85.7,94.0,74,31,7.0,4.21
2026-01-01,Thursday,03:45,General Support,Charlie,9,9,4,4,309,49,64.3,97.7,91,7,0,4.74
2026-01-01,Thursday,03:45,Technical Support,Charlie,0,3,3,2,352,42,42.9,89.9,94,2,0,4.86
2026-01-01,Thursday,03:45,Billing,Alpha,3,4,3,3,303,43,38.1,87.9,94,2,0,4.86
2026-01-01,Thursday,03:45,Sales,Alpha,16,14,6,4,336,46,99,92.5,60,51,13.7,3.77
2026-01-01,Thursday,03:45,VIP,Delta,6,8,4,2,285,49,99,89.1,51,63,17.7,3.5
2026-01-01,Thursday,03:45,Complaints,Delta,10,11,5,4,378,49,78.6,90.8,78,25,5.0,4.34
2026-01-01,Thursday,04:00,General Support,Delta,10,6,3,2,342,44,85.7,94.3,67,41,10.3,3.99
2026-01-01,Thursday,04:00,Technical Support,Charlie,8,11,5,5,308,40,62.9,90.9,91,6,0,4.77
2026-01-01,Thursday,04:00,Billing,Delta,3,5,3,2,319,27,71.4,93.1,86,14,1.3,4.59
2026-01-01,Thursday,04:00,Sales,Alpha,8,10,4,4,333,45,71.4,97.1,82,19,3.0,4.48
2026-01-01,Thursday,04:00,VIP,Charlie,5,6,3,3,343,49,57.1,91.5,94,2,0,4.86
2026-01-01,Thursday,04:00,Complaints,Bravo,4,5,3,2,337,37,71.4,95.2,84,16,2.0,4.54
2026-01-01,Thursday,04:15,General Support,Charlie,7,9,4,3,384,44,85.7,90.2,68,39,9.7,4.03
2026-01-01,Thursday,04:15,Technical Support,Delta,7,10,4,2,341,37,99,91.3,55,58,16.0,3.61
2026-01-01,Thursday,04:15,Billing,Delta,5,5,3,3,337,33,47.6,95.2,94,2,0,4.86
2026-01-01,Thursday,04:15,Sales,Bravo,12,12,5,3,324,59,99,95.5,55,58,16.0,3.61
2026-01-01,Thursday,04:15,VIP,Alpha,7,7,4,2,334,57,99,95.6,51,63,17.7,3.5
2026-01-01,Thursday,04:15,Complaints,Charlie,3,4,3,2,387,48,57.1,96.7,94,2,0,4.86
2026-01-01,Thursday,04:30,General Support,Charlie,7,5,3,2,352,40,71.4,95.3,86,13,1.0,4.61
2026-01-01,Thursday,04:30,Technical Support,Charlie,0,3,3,2,334,55,42.9,93.6,94,2,0,4.86
2026-01-01,Thursday,04:30,Billing,Bravo,11,12,5,4,333,43,85.7,98.0,70,37,9.0,4.08
2026-01-01,Thursday,04:30,Sales,Bravo,0,5,3,3,349,39,47.6,92.5,94,2,0,4.86
2026-01-01,Thursday,04:30,VIP,Bravo,3,4,3,3,350,52,38.1,93.6,94,2,0,4.86
2026-01-01,Thursday,04:30,Complaints,Delta,4,4,3,3,345,44,38.1,90.8,94,2,0,4.86
2026-01-01,Thursday,04:45,General Support,Delta,9,11,5,5,372,51,62.9,99.5,93,4,0,4.81
2026-01-01,Thursday,04:45,Technical Support,Charlie,3,6,3,2,368,39,85.7,93.9,68,39,9.7,4.03
2026-01-01,Thursday,04:45,Billing,Alpha,0,0,3,2,347,44,0.0,98.6,94,2,0,4.86
2026-01-01,Thursday,04:45,Sales,Bravo,10,12,5,4,318,46,85.7,93.3,70,36,8.7,4.1
2026-01-01,Thursday,04:45,VIP,Alpha,1,4,3,2,294,47,57.1,93.5,94,2,0,4.86
2026-01-01,Thursday,04:45,Complaints,Delta,8,6,3,2,351,50,85.7,91.9,70,37,9.0,4.08
2026-01-01,Thursday,05:00,General Support,Bravo,8,8,4,2,319,38,99,95.0,55,58,16.0,3.61
2026-01-01,Thursday,05:00,Technical Support,Delta,10,7,4,3,334,54,66.7,95.5,92,5,0,4.79
2026-01-01,Thursday,05:00,Billing,Charlie,8,9,4,4,302,65,64.3,96.1,92,5,0,4.79
2026-01-01,Thursday,05:00,Sales,Delta,11,10,4,3,332,39,95.2,89.8,62,48,12.7,3.83
2026-01-01,Thursday,05:00,VIP,Charlie,6,11,5,5,309,30,62.9,91.5,94,2,0,4.86
2026-01-01,Thursday,05:00,Complaints,Alpha,8,9,4,4,314,41,64.3,90.8,94,2,0,4.86
2026-01-01,Thursday,05:15,General Support,Delta,15,12,5,4,339,45,85.7,94.5,65,43,11.0,3.94
2026-01-01,Thursday,05:15,Technical Support,Delta,3,3,3,2,304,34,42.9,91.8,94,2,0,4.86
2026-01-01,Thursday,05:15,Billing,Delta,0,4,3,2,380,52,57.1,86.8,94,2,0,4.86
2026-01-01,Thursday,05:15,Sales,Charlie,5,5,3,2,366,23,71.4,96.7,86,14,1.3,4.59
2026-01-01,Thursday,05:15,VIP,Alpha,10,10,4,4,322,49,71.4,98.3,82,19,3.0,4.48
2026-01-01,Thursday,05:15,Complaints,Bravo,10,10,4,4,320,49,71.4,93.5,86,13,1.0,4.61
2026-01-01,Thursday,05:30,General Support,Bravo,6,8,4,4,300,41,57.1,94.0,91,7,0,4.74
2026-01-01,Thursday,05:30,Technical Support,Bravo,1,2,3,3,334,59,19.0,92.6,94,2,0,4.86
2026-01-01,Thursday,05:30,Billing,Delta,6,7,4,3,355,31,66.7,97.7,89,9,0,4.7
2026-01-01,Thursday,05:30,Sales,Charlie,5,5,3,2,362,47,71.4,95.8,84,17,2.3,4.52
2026-01-01,Thursday,05:30,VIP,Delta,1,0,3,3,339,41,0.0,98.8,94,2,0,4.86
2026-01-01,Thursday,05:30,Complaints,Charlie,9,9,4,2,352,37,99,93.9,57,55,15.0,3.68
2026-01-01,Thursday,05:45,General Support,Bravo,6,5,3,2,351,55,71.4,89.1,81,21,3.7,4.43
2026-01-01,Thursday,05:45,Technical Support,Delta,3,2,3,2,367,41,28.6,91.3,94,2,0,4.86
2026-01-01,Thursday,05:45,Billing,Delta,8,7,4,4,308,47,50.0,91.7,94,2,0,4.86
2026-01-01,Thursday,05:45,Sales,Alpha,13,12,5,5,326,38,68.6,89.3,87,12,0.7,4.63
2026-01-01,Thursday,05:45,VIP,Charlie,4,2,3,2,304,55,28.6,96.2,94,2,0,4.86
2026-01-01,Thursday,05:45,Complaints,Charlie,11,10,4,4,322,57,71.4,91.8,80,22,4.0,4.41
2026-01-01,Thursday,06:00,General Support,Alpha,10,9,4,4,285,59,64.3,95.0,92,5,0,4.79
2026-01-01,Thursday,06:00,Technical Support,Charlie,2,4,3,2,358,42,57.1,92.8,94,2,0,4.86
2026-01-01,Thursday,06:00,Billing,Alpha,7,6,3,3,327,52,57.1,90.2,94,2,0,4.86
2026-01-01,Thursday,06:00,Sales,Alpha,12,11,5,4,353,36,78.6,90.6,72,33,7.7,4.17
2026-01-01,Thursday,06:00,VIP,Delta,8,9,4,2,343,37,99,94.2,54,60,16.7,3.57
2026-01-01,Thursday,06:00,Complaints,Delta,6,6,3,2,360,42,85.7,95.4,65,44,11.3,3.92
2026-01-01,Thursday,06:15,General Support,Bravo,4,5,3,3,364,51,47.6,89.8,94,2,0,4.86
2026-01-01,Thursday,06:15,Technical Support,Delta,4,8,4,3,343,44,76.2,92.8,80,22,4.0,4.41
2026-01-01,Thursday,06:15,Billing,Alpha,4,5,3,2,292,59,71.4,95.7,81,21,3.7,4.43
2026-01-01,Thursday,06:15,Sales,Delta,4,4,3,3,310,33,38.1,95.5,94,2,0,4.86
2026-01-01,Thursday,06:15,VIP,Charlie,8,7,4,3,404,33,66.7,96.4,87,12,0.7,4.63
2026-01-01,Thursday,06:15,Complaints,Charlie,14,12,5,5,351,59,68.6,90.2,84,17,2.3,4.52
2026-01-01,Thursday,06:30,General Support,Charlie,11,8,4,4,339,27,57.1,91.5,94,2,0,4.86
2026-01-01,Thursday,06:30,Technical Support,Bravo,7,3,3,2,319,48,42.9,93.9,94,2,0,4.86
2026-01-01,Thursday,06:30,Billing,Delta,5,8,4,4,327,34,57.1,97.0,94,2,0,4.86
2026-01-01,Thursday,06:30,Sales,Bravo,1,5,3,2,308,52,71.4,90.2,86,13,1.0,4.61
2026-01-01,Thursday,06:30,VIP,Charlie,4,4,3,2,362,53,57.1,92.2,94,2,0,4.86
2026-01-01,Thursday,06:30,Complaints,Delta,7,7,4,3,329,55,66.7,93.6,93,4,0,4.81
2026-01-01,Thursday,06:45,General Support,Charlie,4,4,3,2,320,49,57.1,95.6,94,2,0,4.86
2026-01-01,Thursday,06:45,Technical Support,Alpha,3,5,3,3,356,56,47.6,87.8,94,2,0,4.86
2026-01-01,Thursday,06:45,Billing,Charlie,5,6,3,3,251,34,57.1,90.6,94,2,0,4.86
2026-01-01,Thursday,06:45,Sales,Charlie,7,6,3,2,295,55,85.7,93.7,68,40,10.0,4.01
2026-01-01,Thursday,06:45,VIP,Bravo,9,9,4,2,354,57,99,91.3,61,50,13.3,3.79
2026-01-01,Thursday,06:45,Complaints,Bravo,8,6,3,3,327,38,57.1,95.2,94,2,0,4.86
2026-01-01,Thursday,07:00,General Support,Alpha,0,2,3,2,324,43,28.6,89.0,94,2,0,4.86
2026-01-01,Thursday,07:00,Technical Support,Delta,4,6,3,2,342,51,85.7,95.6,70,37,9.0,4.08
2026-01-01,Thursday,07:00,Billing,Alpha,20,12,5,5,366,56,68.6,98.1,84,17,2.3,4.52
2026-01-01,Thursday,07:00,Sales,Bravo,0,4,3,2,361,52,57.1,95.0,94,2,0,4.86
2026-01-01,Thursday,07:00,VIP,Delta,6,7,4,3,320,38,66.7,92.0,88,11,0.3,4.66
2026-01-01,Thursday,07:00,Complaints,Delta,9,8,4,3,328,40,76.2,94.6,82,20,3.3,4.46
2026-01-01,Thursday,07:15,General Support,Bravo,5,5,3,2,339,47,71.4,89.9,82,19,3.0,4.48
2026-01-01,Thursday,07:15,Technical Support,Alpha,7,8,4,3,312,57,76.2,95.7,75,29,6.3,4.26
2026-01-01,Thursday,07:15,Billing,Bravo,9,6,3,2,351,46,85.7,89.6,70,37,9.0,4.08
2026-01-01,Thursday,07:15,Sales,Alpha,6,10,4,4,355,39,71.4,90.4,82,20,3.3,4.46
2026-01-01,Thursday,07:15,VIP,Charlie,7,7,4,4,303,46,50.0,95.3,94,2,0,4.86
2026-01-01,Thursday,07:15,Complaints,Alpha,8,10,4,4,306,31,71.4,93.2,88,11,0.3,4.66
2026-01-01,Thursday,07:30,General Support,Bravo,10,7,4,2,324,32,99,96.8,52,62,17.3,3.52
2026-01-01,Thursday,07:30,Technical Support,Delta,7,7,4,3,307,59,66.7,90.3,86,13,1.0,4.61
2026-01-01,Thursday,07:30,Billing,Charlie,6,7,4,2,318,44,99,88.7,54,59,16.3,3.59
2026-01-01,Thursday,07:30,Sales,Alpha,10,8,4,2,308,32,99,91.2,49,66,18.7,3.43
2026-01-01,Thursday,07:30,VIP,Alpha,6,5,3,2,358,44,71.4,90.8,86,13,1.0,4.61
2026-01-01,Thursday,07:30,Complaints,Charlie,7,5,3,2,364,45,71.4,96.2,85,15,1.7,4.57
2026-01-01,Thursday,07:45,General Support,Bravo,0,2,3,3,300,54,19.0,95.2,94,2,0,4.86
2026-01-01,Thursday,07:45,Technical Support,Charlie,7,8,4,3,344,49,76.2,95.0,84,16,2.0,4.54
2026-01-01,Thursday,07:45,Billing,Alpha,10,11,5,3,341,41,99,92.2,56,56,15.3,3.66
2026-01-01,Thursday,07:45,Sales,Delta,7,9,4,4,309,38,64.3,94.0,89,9,0,4.7
2026-01-01,Thursday,07:45,VIP,Delta,7,6,3,2,341,30,85.7,86.2,69,38,9.3,4.06
2026-01-01,Thursday,07:45,Complaints,Charlie,12,11,5,5,332,55,62.9,90.5,91,7,0,4.74
2026-01-01,Thursday,08:00,General Support,Charlie,4,3,3,3,314,60,28.6,92.0,94,2,0,4.86
2026-01-01,Thursday,08:00,Technical Support,Charlie,3,5,3,2,330,55,71.4,100,82,20,3.3,4.46
2026-01-01,Thursday,08:00,Billing,Alpha,2,3,3,3,335,34,28.6,94.6,94,2,0,4.86
2026-01-01,Thursday,08:00,Sales,Delta,10,9,4,2,361,35,99,91.0,56,56,15.3,3.66
2026-01-01,Thursday,08:00,VIP,Bravo,9,10,4,4,323,35,71.4,89.7,81,21,3.7,4.43
2026-01-01,Thursday,08:00,Complaints,Charlie,7,8,4,4,340,39,57.1,90.0,94,2,0,4.86
2026-01-01,Thursday,08:15,General Support,Alpha,5,7,4,2,405,40,99,91.5,54,59,16.3,3.59
2026-01-01,Thursday,08:15,Technical Support,Charlie,2,1,3,2,339,68,14.3,98.5,94,2,0,4.86
2026-01-01,Thursday,08:15,Billing,Bravo,4,7,4,3,303,40,66.7,97.5,94,2,0,4.86
2026-01-01,Thursday,08:15,Sales,Charlie,5,8,4,4,335,45,57.1,98.3,94,2,0,4.86
2026-01-01,Thursday,08:15,VIP,Delta,4,5,3,2,385,52,71.4,97.3,82,19,3.0,4.48
2026-01-01,Thursday,08:15,Complaints,Charlie,1,2,3,2,375,39,28.6,100,94,2,0,4.86
2026-01-01,Thursday,08:30,General Support,Alpha,13,11,5,3,325,53,99,91.8,55,58,16.0,3.61
2026-01-01,Thursday,08:30,Technical Support,Charlie,6,9,4,3,362,43,85.7,94.4,71,35,8.3,4.12
2026-01-01,Thursday,08:30,Billing,Alpha,7,9,4,2,333,37,99,95.3,57,55,15.0,3.68
2026-01-01,Thursday,08:30,Sales,Alpha,5,6,3,2,376,42,85.7,95.5,72,33,7.7,4.17
2026-01-01,Thursday,08:30,VIP,Delta,7,8,4,4,323,44,57.1,97.9,94,2,0,4.86
2026-01-01,Thursday,08:30,Complaints,Delta,6,7,4,2,327,43,99,88.9,53,61,17.0,3.54
2026-01-01,Thursday,08:45,General Support,Bravo,7,7,4,4,366,37,50.0,94.7,94,2,0,4.86
2026-01-01,Thursday,08:45,Technical Support,Alpha,8,6,3,2,337,34,85.7,95.8,65,43,11.0,3.94
2026-01-01,Thursday,08:45,Billing,Delta,8,6,3,2,345,63,85.7,91.4,66,42,10.7,3.97
2026-01-01,Thursday,08:45,Sales,Bravo,12,8,4,4,275,44,57.1,95.7,94,2,0,4.86
2026-01-01,Thursday,08:45,VIP,Delta,4,4,3,2,315,51,57.1,95.6,94,2,0,4.86
2026-01-01,Thursday,08:45,Complaints,Delta,9,10,4,3,347,32,95.2,95.3,62,48,12.7,3.83
2026-01-01,Thursday,09:00,General Support,Charlie,27,27,9,9,366,43,85.7,87.4,73,32,7.3,4.19
2026-01-01,Thursday,09:00,Technical Support,Charlie,28,28,10,8,375,53,99,94.3,53,61,17.0,3.54
2026-01-01,Thursday,09:00,Billing,Charlie,26,29,10,8,395,33,99,99.0,51,63,17.7,3.5
2026-01-01,Thursday,09:00,Sales,Bravo,24,25,9,9,373,42,79.4,94.1,75,29,6.3,4.26
2026-01-01,Thursday,09:00,VIP,Charlie,22,26,9,7,350,37,99,89.1,55,58,16.0,3.61
2026-01-01,Thursday,09:00,Complaints,Delta,37,32,11,9,306,35,99,95.2,55,58,16.0,3.61
2026-01-01,Thursday,09:15,General Support,Alpha,25,27,9,9,373,55,85.7,90.0,69,38,9.3,4.06
2026-01-01,Thursday,09:15,Technical Support,Delta,25,26,9,7,289,33,99,94.1,56,56,15.3,3.66
2026-01-01,Thursday,09:15,Billing,Alpha,32,30,10,8,311,47,99,93.5,56,56,15.3,3.66
2026-01-01,Thursday,09:15,Sales,Delta,31,29,10,9,377,33,92.1,95.7,59,52,14.0,3.74
2026-01-01,Thursday,09:15,VIP,Delta,28,31,10,10,305,20,88.6,92.0,69,38,9.3,4.06
2026-01-01,Thursday,09:15,Complaints,Charlie,24,25,9,9,349,33,79.4,89.4,77,27,5.7,4.3
2026-01-01,Thursday,09:30,General Support,Charlie,25,26,9,9,364,66,82.5,92.5,75,30,6.7,4.23
2026-01-01,Thursday,09:30,Technical Support,Charlie,23,26,9,8,365,58,92.9,91.9,63,46,12.0,3.88
2026-01-01,Thursday,09:30,Billing,Bravo,29,27,9,7,397,53,99,86.9,61,49,13.0,3.81
2026-01-01,Thursday,09:30,Sales,Bravo,28,27,9,7,372,37,99,99.0,58,53,14.3,3.72
2026-01-01,Thursday,09:30,VIP,Bravo,31,29,10,8,324,37,99,92.5,57,55,15.0,3.68
2026-01-01,Thursday,09:30,Complaints,Alpha,35,34,11,11,332,34,88.3,92.4,63,46,12.0,3.88
2026-01-01,Thursday,09:45,General Support,Delta,26,27,9,7,337,35,99,94.7,59,52,14.0,3.74
2026-01-01,Thursday,09:45,Technical Support,Bravo,26,26,9,8,378,47,92.9,91.1,62,48,12.7,3.83
2026-01-01,Thursday,09:45,Billing,Alpha,22,23,8,8,330,48,82.1,94.6,74,31,7.0,4.21
2026-01-01,Thursday,09:45,Sales,Alpha,30,31,10,9,385,49,98.4,94.9,57,55,15.0,3.68
2026-01-01,Thursday,09:45,VIP,Delta,31,31,10,10,328,34,88.6,95.4,64,45,11.7,3.9
2026-01-01,Thursday,09:45,Complaints,Delta,28,29,10,8,343,48,99,91.1,54,60,16.7,3.57
2026-01-01,Thursday,10:00,General Support,Bravo,22,25,9,9,287,32,79.4,92.6,77,26,5.3,4.32
2026-01-01,Thursday,10:00,Technical Support,Bravo,22,24,8,7,308,55,98.0,94.7,54,60,16.7,3.57
2026-01-01,Thursday,10:00,Billing,Charlie,30,31,10,10,341,39,88.6,95.9,65,44,11.3,3.92
2026-01-01,Thursday,10:00,Sales,Delta,29,26,9,9,368,46,82.5,92.8,68,40,10.0,4.01
2026-01-01,Thursday,10:00,VIP,Charlie,27,26,9,7,310,46,99,98.6,59,52,14.0,3.74
2026-01-01,Thursday,10:00,Complaints,Delta,27,26,9,9,344,52,82.5,89.7,72,33,7.7,4.17
